Family	Haploid son	Diploid son	Daughter
A	21	4	2
AA	1	3	2
AB	3	0	2
AC	11	1	2
AD	13	0	0
AE	2	13	6
AF	6	0	0
AG	23	1	0
AH	7	0	0
AI	11	0	0
AJ	4	3	1
AK	8	0	0
AL	3	5	4
AM	13	0	0
AN	5	0	0
AO	16	0	0
AP	31	0	0
AR	23	0	0
AS	4	0	0
AT	10	0	0
AU	7	0	0
AV	8	0	0
AW	10	0	0
AX	10	0	0
AY	10	0	0
AZ	10	0	0
B	14	0	2
BA	9	0	0
BB	7	0	0
BC	10	0	0
BD	9	0	0
BF	7	0	0
BG	5	0	0
BH	10	0	0
BI	10	0	0
BJ	10	0	0
C	2	3	1
D	9	1	0
E	15	0	1
F	5	3	6
G	3	3	9
H	5	10	6
I	15	0	0
J	23	0	1
K	7	6	4
L	17	0	0
M	3	0	1
N	11	0	0
O	2	5	1
P	2	0	1
Q	1	1	1
R	2	0	1
S	7	1	1
T	0	10	3
U	9	0	1
V	18	0	0
W	18	0	0
X	10	0	0
Y	9	0	0
Z	3	3	1
