Number,Sex,parent-id,dissection_date,rad_libary,vial body parts,Remark
CF4A01,F,C266,,RAD_wasp6,102,
CF4A02,M,C266,,RAD_wasp6,103,"for males, abdomen was not removed"
CF4A03,M,C266,,RAD_wasp6,104,"for males, abdomen was not removed"
CF4A04,M,C266,,RAD_wasp6,105,"for males, abdomen was not removed"
CF4A05,M,C266,,RAD_wasp6,106,"for males, abdomen was not removed"
CF4A06,M,C266,,RAD_wasp6,107,"for males, abdomen was not removed"
CF4A07,F,C266,,RAD_wasp6,108,
CF4A08,M,C266,,RAD_wasp6,109,"for males, abdomen was not removed"
CF4A09,M,C266,,RAD_wasp6,110,"for males, abdomen was not removed"
CF4A10,M,C266,,RAD_wasp6,111,"for males, abdomen was not removed"
CF4A11,M,C266,,RAD_wasp6,112,"for males, abdomen was not removed"
CF4A12,M,C266,,RAD_wasp6,113,"for males, abdomen was not removed"
CF4A13,F,C266,,RAD_wasp6,114,
CF4A14,F,C266,,RAD_wasp6,115,
CF4A15,M,C266,01.02.17,RAD_wasp7,207,
CF4A16,M,C266,01.02.17,RAD_wasp7,208,
CF4A17,M,C266,01.02.17,RAD_wasp7,209,
CF4A18,M,C266,01.02.17,RAD_wasp7,210,
CF4A19,M,C266,01.02.17,RAD_wasp7,211,
CF4A20,M,C266,01.02.17,RAD_wasp7,212,
CF4A21,M,C266,01.02.17,RAD_wasp7,213,
CF4A22,M,C266,01.02.17,RAD_wasp7,214,
CF4A23,M,C266,01.02.17,RAD_wasp7,215,
CF4A24,M,C266,01.02.17,RAD_wasp7,216,
CF4A25,M,C266,01.02.17,RAD_wasp7,217,
CF4A26,M,C266,01.02.17,RAD_wasp7,218,
CF4A27,M,C266,02.02.17,RAD_wasp7,219,
CF4A28,M,C266,02.02.17,RAD_wasp7,220,
CF4A29,M,C266,02.02.17,RAD_wasp7,221,
CF4A30,M,C266,02.02.17,RAD_wasp7,222,
CF4AA01,F,C491,26.07.17,,,
CF4AA02,F,C491,26.07.17,,,
CF4AA03,M,C491,26.07.17,,,
CF4AA04,M,C491,26.07.17,,,
CF4AA05,M,C491,26.07.17,,,
CF4AA06,M,C491,26.07.17,,,
CF4AB01,F,C495,26.07.17,,,
CF4AB02,F,C495,26.07.17,,,
CF4AB03,F,C495,26.07.17,,,
CF4AB04,M,C495,26.07.17,,,
CF4AB05,M,C495,26.07.17,,,
CF4AB06,M,C495,26.07.17,,,
CF4AB07,M,C495,26.07.17,,,
CF4AC01,F,C517,26.07.17,,,
CF4AC02,F,C517,26.07.17,,,
CF4AC03,F,C517,26.07.17,,,
CF4AC04,F,C517,26.07.17,,,
CF4AC05,M,C517,26.07.17,,,
CF4AC06,M,C517,26.07.17,,,
CF4AC07,M,C517,26.07.17,,,
CF4AC08,M,C517,26.07.17,,,
CF4AC09,M,C517,26.07.17,,,
CF4AC10,M,C517,26.07.17,,,
CF4AC11,M,C517,26.07.17,,,
CF4AC12,M,C517,26.07.17,,,
CF4AC13,M,C517,26.07.17,,,
CF4AC14,M,C517,26.07.17,,,
CF4AC15,M,C517,26.07.17,,,
CF4AC16,M,C517,26.07.17,,,
CF4AC17,M,C517,26.07.17,,,
CF4AD01,F,C518,26.07.17,,,
CF4AD02,F,C518,26.07.17,,,
CF4AD03,F,C518,26.07.17,,,
CF4AD04,F,C518,26.07.17,,,
CF4AD05,M,C518,26.07.17,,,
CF4AD06,M,C518,26.07.17,,,
CF4AD07,M,C518,26.07.17,,,
CF4AD08,M,C518,26.07.17,,,
CF4AD09,M,C518,26.07.17,,,
CF4AD10,M,C518,26.07.17,,,
