chrom,start,end,ID,GO,term
chr3,4755773,4756151,LF003046-PA,GO:0005975,chitinase-like protein idgf4
chr3,4760373,4760594,LF003045-PA,GO:0016021,golgi integral membrane protein 4-like isoform x1
chr3,4796906,4797511,LF003043-PA,GO:0016021,uncharacterized protein loc100879956
chr3,4811951,4812047,LF003042-PA,GO:0016021,adenylate cyclase type 6
chr3,4831089,4831238,LF003041-PA,GO:0016021,adenylate cyclase type 6
chr3,4843615,4843781,LF003040-PA,GO:0016020,proton-coupled folate transporter
chr3,4861774,4861814,LF003038-PA,GO:0016020,vasoactive intestinal polypeptide receptor 1-like isoform x1
chr3,4870994,4871049,LF003037-PA,GO:0005507,protein sco1 mitochondrial
chr3,4872792,4872935,LF003036-PA,GO:0032266,vacuolar protein-sorting-associated protein 36
chr3,4888350,4888940,LF003033-PA,GO:0016021,uncharacterized protein loc107272897
chr3,5062396,5062706,LF003027-PA,GO:0006457,prefoldin subunit 5
chr3,5103157,5103384,LF003024-PA,GO:0016020,hig1 domain family member mitochondrial
chr3,5103863,5104279,LF003023-PA,GO:0046872,protein rufy3
chr3,5108354,5108613,LF003022-PA,GO:0046872,run and fyve domain-containing protein 2 isoform x3
chr3,4755773,4756151,LF003046-PA,GO:0005975,chitinase-like protein idgf4
chr3,4760373,4760594,LF003045-PA,GO:0016021,golgi integral membrane protein 4-like isoform x1
chr3,4796906,4797511,LF003043-PA,GO:0016021,uncharacterized protein loc100879956
chr3,4811951,4812047,LF003042-PA,GO:0016021,adenylate cyclase type 6
chr3,4831089,4831238,LF003041-PA,GO:0016021,adenylate cyclase type 6
chr3,4843615,4843781,LF003040-PA,GO:0016020,proton-coupled folate transporter
chr3,4861774,4861814,LF003038-PA,GO:0016020,vasoactive intestinal polypeptide receptor 1-like isoform x1
chr3,4870994,4871049,LF003037-PA,GO:0005507,protein sco1 mitochondrial
chr3,4872792,4872935,LF003036-PA,GO:0032266,vacuolar protein-sorting-associated protein 36
chr3,4888350,4888940,LF003033-PA,GO:0016021,uncharacterized protein loc107272897
chr3,5062396,5062706,LF003027-PA,GO:0006457,prefoldin subunit 5
chr3,5103157,5103384,LF003024-PA,GO:0016020,hig1 domain family member mitochondrial
chr3,5103863,5104279,LF003023-PA,GO:0046872,protein rufy3
chr3,5108354,5108613,LF003022-PA,GO:0046872,run and fyve domain-containing protein 2 isoform x3
chr3,4755773,4756151,LF003046-PA,GO:0005975,chitinase-like protein idgf4
chr3,4760373,4760594,LF003045-PA,GO:0016021,golgi integral membrane protein 4-like isoform x1
chr3,4796906,4797511,LF003043-PA,GO:0016021,uncharacterized protein loc100879956
chr3,4811951,4812047,LF003042-PA,GO:0016021,adenylate cyclase type 6
chr3,4831089,4831238,LF003041-PA,GO:0016021,adenylate cyclase type 6
chr3,4843615,4843781,LF003040-PA,GO:0016020,proton-coupled folate transporter
chr3,4861774,4861814,LF003038-PA,GO:0016020,vasoactive intestinal polypeptide receptor 1-like isoform x1
chr3,4870994,4871049,LF003037-PA,GO:0005507,protein sco1 mitochondrial
chr3,4872792,4872935,LF003036-PA,GO:0032266,vacuolar protein-sorting-associated protein 36
chr3,4888350,4888940,LF003033-PA,GO:0016021,uncharacterized protein loc107272897
chr3,5062396,5062706,LF003027-PA,GO:0006457,prefoldin subunit 5
chr3,5103157,5103384,LF003024-PA,GO:0016020,hig1 domain family member mitochondrial
chr3,5103863,5104279,LF003023-PA,GO:0046872,protein rufy3
chr3,5108354,5108613,LF003022-PA,GO:0046872,run and fyve domain-containing protein 2 isoform x3
chr4,7662977,7662991,LF013183-PA,GO:0003677,homeobox protein hmx
chr4,7716629,7717162,LF014636-PA,GO:0006259,uncharacterized protein loc105842614
chr4,7719367,7719680,LF014637-PA,GO:0006259,uncharacterized protein dwil_gk22850
chr4,7739899,7740140,LF010545-PA,GO:0005737,uncharacterized protein loc107265729
chr4,7768779,7769106,LF010548-PA,GO:0004725,tyrosine-protein phosphatase 69d
chr4,7783681,7784055,LF010550-PA,GO:0016020,required for meiotic nuclear division protein 1 homolog
chr4,7810568,7810970,LF010552-PA,GO:0003676,zinc finger protein 429-like isoform x3
chr4,7848658,7849135,LF010555-PA,GO:0016779,dna polymerase zeta catalytic subunit
chr4,7855355,7855459,LF010556-PA,GO:0005834,guanine nucleotide-binding protein subunit gamma-1
chr4,7889903,7890097,LF012290-PA,GO:0000166,hspb1-associated protein 1
chr5,3104517,3104912,LF009381-PA,GO:0008236,serine protease
chr5,3108040,3108175,LF009383-PA,GO:0016798,myrosinase 1-like
chr5,3116758,3117130,LF009386-PA,GO:0016021,uncharacterized protein loc411888 isoform x1
chr5,3131420,3131610,LF009387-PA,GO:0006351,aryl hydrocarbon receptor nuclear translocator-like protein 1 isoform x1
